"Борисенко","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Сахалинская, 30"
"Шилкинская 3","Пн. Чт. с 18.00 до 20.00","1013","ул. Шилкинская, 3"
"ТСЖ №62","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Котельникова, 28"
"Бухта Федорова","Пн.-Пт. с 10.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Станюковича, 48"
"На Корякинской","Пн.-Пт. 08.00 до 16.00 Сб.-Вс. - выходной.","1013","ул. Корякинская, 29"
"Славянская 17","Пн.-Пт. с 10.00 до 16.00 Сб.-Вс. - выходной.","1013","ул. Славянская, 17"
"Толстого 32","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Толстого, 32"
"Вымпел","Пн.-Пт. с 09.00 до 16.00 Сб.-Вс. - выходной.","1013","ул. Гамарника, 10б"
"Заря","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Постышева, 3"
"Давыдовское","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Давыдова, 35"
"На Бестужева","Пн.-Пт. с 10.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Бестужева, 21"
"Пацаева 3а","Круглосуточно","1013","ул. Пацаева, 3а"
"Монолит","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Ладыгина, 17"
"Форпост","Ежедневно с 10.00 до 18.00","1013","ул. Бестужева, 21а"
"Рыбацкий","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Надибаидзе, 17"
"Океан","Пн. с 10.00 до 14.00 Пт. Ср. с 14.00 до 18.00","1013","ул. Тигровая, 20а"
"Уют","Пн. Ср. с 18.00 до 20.00","1013","ул. Шилкинская, 11а"
"Светла-17","Круглосуточно.","1013","ул. Светланская, 17"
"Аврора","Пн.-Пт. с 10.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Авроровская, 17"
"Океанский 66","Пн.-Пт. с 10.00 до 12.00 Сб.-Вс. - выходной.","1013","Океанский пр-кт, 66"
"Тигровая 9","Ежедневно c 18.00 до 20.00","1013","ул.Т игровая, 9"
"На Зейской","Пн.-Сб. с 09.00 до 18.00 Вс. - выходной.","1013","ул. Зейская, 4/2"
"Западный","Пн.-Пт. с 10.00 до 20.00 Сб.-Вс. - выходной.","1013","ул. Уборевича, 15"
"Радужное","Круглосуточно","1013","Красного Знамени пр-кт, 118в"
"Гамарника 10","Ежедневно в течение дня","1013","ул. Гамарника, 10"
"Шилкинская 11","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Шилкинская, 11 кв. 49"
"Аврора","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Героев Варяга, 10а"
"Тухачевского 72","Пн.-Пт. с 09.00 до 20.00 Сб.-Вс. - выходной.","1013","ул. Тухачевского, 72"
